company_id,scenario,department_id,headcount,family_link_share_calc,close_family_share,connected_employee_share_calc,promoted_share_connected,surname_concentration,city_concentration,school_concentration,college_concentration,same_high_school_share,same_city_share,same_college_share,same_last_name_share,headcount_feature,connected_employee_share,family_link_share,referral_share,promoted_share,avg_salary,avg_performance,avg_merit,manager_count,family_concentration_component,school_concentration_component,city_concentration_component,college_concentration_component,surname_concentration_component,connected_promotion_component,size_stability_factor,raw_nepotism_risk_score,department_nepotism_risk_score
MOD-16,Moderate favoritism,D01,7,0.14285714285714285,0.0,0.8571428571428571,0.0,0.2857,0.8571,0.8571,0.4286,0.4286,0.8571,0.2857,0.0,7,1.0,0.1429,0.7142857142857143,0.0,22800.0,69.4,82.21428571428571,2,0.0857,0.6086,0.8571,0.36,0.1886,0.0,0.7,0.3088,0.5112
HNR-02,High nepotism risk,D03,6,0.5,0.3333,1.0,0.1667,0.3333,0.5,0.3333,0.5,0.3333,1.0,0.5,0.5,6,1.0,0.5,0.8333333333333334,0.1666666666666666,21633.33333333333,64.18333333333334,86.51666666666667,2,0.4333,0.3333,0.71,0.5,0.39,0.1667,0.6,0.3017,0.4961
HNR-04,High nepotism risk,D01,7,0.14285714285714285,0.0,0.8571428571428571,0.0,0.1429,0.7143,0.7143,0.5,0.7143,0.7143,0.2857,0.0,7,0.8571,0.1429,0.5714285714285714,0.0,18657.14285714286,61.0,76.34285714285714,2,0.0857,0.7143,0.7143,0.3971,0.0943,0.0,0.7,0.2954,0.483
HNR-08,High nepotism risk,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,49200.0,61.0,92.7,0,0.6,1.0,1.0,1.0,1.0,0.0,0.35,0.2898,0.471
MOD-04,Moderate favoritism,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,52200.0,78.0,87.4,0,0.6,1.0,1.0,1.0,1.0,0.0,0.35,0.2898,0.471
HNR-13,High nepotism risk,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,0.0,50800.0,64.8,95.3,0,0.6,1.0,1.0,1.0,0.66,0.0,0.35,0.2803,0.4509
MOD-16,Moderate favoritism,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.0,0.0,52900.0,77.0,86.2,0,0.6,1.0,1.0,1.0,0.66,0.0,0.35,0.2803,0.4509
HNR-14,High nepotism risk,D03,5,0.4,0.0,1.0,0.0,0.4,1.0,0.6,0.6,0.8,1.0,0.4,0.0,5,1.0,0.4,1.0,0.0,24920.0,66.56,83.42,2,0.24,0.716,1.0,0.504,0.264,0.0,0.5,0.276,0.4419
HNR-16,High nepotism risk,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,0.0,0.0,50000.0,63.8,71.2,0,0.6,1.0,1.0,0.52,1.0,0.0,0.35,0.2696,0.4285
MOD-05,Moderate favoritism,D01,6,0.0,0.0,0.8333333333333334,0.4,0.1667,1.0,0.6667,0.6667,0.5,0.8333,0.0,0.0,6,1.0,0.0,0.5,0.3333333333333333,22933.33333333333,68.0,82.88333333333333,2,0.0,0.57,0.93,0.3467,0.11,0.4,0.6,0.2623,0.413
HNR-06,High nepotism risk,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0,1.0,0.0,52000.0,70.8,83.0,0,0.6,1.0,1.0,0.52,0.66,0.0,0.35,0.2601,0.4084
HNR-01,High nepotism risk,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,1.0,1.0,0.0,49000.0,62.6,80.6,0,0.6,1.0,1.0,0.52,0.66,0.0,0.35,0.2601,0.4084
MOD-08,Moderate favoritism,D02,8,0.25,0.0,0.5,0.0,0.125,0.625,0.375,0.6,0.0,0.5,0.25,0.0,8,1.0,0.25,0.375,0.0,21650.0,73.45,83.7625,2,0.15,0.1575,0.5725,0.432,0.0825,0.0,0.8,0.2588,0.4057
HNR-09,High nepotism risk,D01,4,0.25,0.0,1.0,0.0,0.25,1.0,0.75,1.0,1.0,1.0,1.0,0.0,4,1.0,0.25,1.0,0.0,20150.0,65.8,81.7,2,0.15,0.895,1.0,1.0,0.165,0.0,0.4,0.2457,0.3779
HNR-03,High nepotism risk,EXEC,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1.0,1.0,0.0,0.0,50700.0,67.1,81.5,0,1.0,0.42,0.58,0.52,1.0,0.0,0.35,0.2447,0.3759
HNR-16,High nepotism risk,D03,4,0.5,0.25,1.0,0.0,0.25,1.0,0.5,0.5,1.0,1.0,0.5,0.25,4,1.0,0.5,0.5,0.0,19725.0,65.275,78.475,2,0.4,0.79,1.0,0.5,0.25,0.0,0.4,0.244,0.3743
MOD-16,Moderate favoritism,D02,3,0.6666666666666666,0.0,1.0,0.0,0.3333,1.0,1.0,1.0,1.0,1.0,0.6667,0.0,3,1.0,0.6667,0.6666666666666666,0.0,26433.33333333333,69.5,78.3,2,0.4,1.0,1.0,0.84,0.22,0.0,0.35,0.2416,0.3693
HNR-03,High nepotism risk,D03,4,0.5,0.25,1.0,0.0,0.25,1.0,0.75,1.0,0.75,0.75,0.0,0.25,4,1.0,0.5,0.75,0.0,21800.0,62.125,74.475,2,0.4,0.75,0.895,0.52,0.25,0.0,0.4,0.235,0.3554
MOD-10,Moderate favoritism,D02,5,0.4,0.2,0.8,0.25,0.4,1.0,0.4,0.6667,0.2,0.6,0.0,0.4,5,1.0,0.4,0.4,0.2,25120.0,69.8,81.42,2,0.32,0.284,0.832,0.3467,0.4,0.25,0.5,0.2341,0.3533
HNR-01,High nepotism risk,D01,5,0.4,0.2,1.0,0.2,0.4,0.6,0.2,0.2,0.6,0.8,0.4,0.2,5,1.0,0.4,0.8,0.2,21060.0,62.260000000000005,76.8,2,0.32,0.432,0.684,0.296,0.332,0.2,0.5,0.2298,0.3443
HNR-12,High nepotism risk,D01,4,0.75,0.0,1.0,0.0,0.5,0.75,0.5,0.3333,0.75,1.0,0.25,0.25,4,1.0,0.75,1.0,0.0,23825.0,69.85,80.325,2,0.45,0.645,0.855,0.2933,0.415,0.0,0.4,0.2241,0.3323
MOD-08,Moderate favoritism,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,53500.0,82.9,91.0,0,0.0,1.0,1.0,1.0,0.66,0.0,0.35,0.2215,0.3268
MER-03,Merit-based,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,52100.0,74.9,81.8,0,0.0,1.0,1.0,1.0,0.66,0.0,0.35,0.2215,0.3268
MOD-15,Moderate favoritism,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,52100.0,81.7,96.2,0,0.0,1.0,1.0,1.0,0.66,0.0,0.35,0.2215,0.3268
MOD-12,Moderate favoritism,D03,4,0.25,0.0,1.0,0.0,0.25,1.0,0.75,0.6667,1.0,1.0,0.25,0.0,4,1.0,0.25,0.75,0.0,21500.0,62.15,76.35,2,0.15,0.895,1.0,0.4667,0.165,0.0,0.4,0.2201,0.3238
MOD-13,Moderate favoritism,D01,4,0.25,0.0,1.0,0.0,0.5,1.0,0.75,0.6667,0.75,1.0,0.5,0.0,4,1.0,0.25,0.75,0.0,24550.0,63.8,78.25,2,0.15,0.75,1.0,0.5867,0.33,0.0,0.4,0.2195,0.3226
HNR-13,High nepotism risk,D03,4,0.5,0.0,1.0,0.5,0.25,0.75,0.5,0.75,0.5,0.75,0.75,0.25,4,1.0,0.5,0.75,0.5,22975.0,61.95,76.1,2,0.3,0.5,0.75,0.75,0.25,0.5,0.4,0.2176,0.3186
MOD-06,Moderate favoritism,D03,3,0.3333333333333333,0.3333,1.0,0.3333,0.3333,1.0,0.6667,1.0,0.6667,1.0,0.3333,0.3333,3,1.0,0.3333,0.6666666666666666,0.3333333333333333,27100.0,76.06666666666666,82.33333333333333,2,0.3333,0.6667,1.0,0.68,0.3333,0.3333,0.35,0.2152,0.3136
HNR-08,High nepotism risk,D03,2,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,2,1.0,1.0,1.0,0.0,28000.0,68.95,83.4,2,0.6,0.5,1.0,0.26,0.66,0.0,0.35,0.2142,0.3114
MOD-16,Moderate favoritism,D03,5,0.2,0.0,0.8,0.25,0.2,0.8,0.6,0.5,0.2,0.8,0.6,0.0,5,1.0,0.2,0.6,0.2,21820.0,74.52000000000001,87.88,2,0.12,0.368,0.8,0.548,0.132,0.25,0.5,0.2133,0.3094
MOD-04,Moderate favoritism,D01,2,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2,1.0,0.5,1.0,0.0,23950.0,63.650000000000006,77.7,2,0.3,0.71,1.0,0.74,0.33,0.0,0.35,0.2104,0.3034
HNR-11,High nepotism risk,D03,2,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,2,1.0,0.5,1.0,0.0,23700.0,56.55,77.25,2,0.5,0.5,1.0,0.5,0.5,0.0,0.35,0.21,0.3025
HNR-15,High nepotism risk,D03,4,0.75,0.0,1.0,0.25,0.5,1.0,0.5,0.5,0.25,0.75,0.0,0.25,4,1.0,0.75,0.5,0.25,21700.0,63.6,77.05,2,0.45,0.355,0.895,0.26,0.415,0.25,0.4,0.2078,0.298
HNR-02,High nepotism risk,D01,6,0.3333333333333333,0.1667,0.6666666666666666,0.0,0.1667,0.3333,0.3333,0.4,0.1667,0.6667,0.0,0.1667,6,1.0,0.3333,0.8333333333333334,0.0,22666.666666666668,64.7,79.85000000000001,2,0.2667,0.2367,0.4733,0.208,0.1667,0.0,0.6,0.2016,0.2848
MER-08,Merit-based,D01,8,0.0,0.0,0.5,0.0,0.125,0.375,0.25,0.375,0.25,0.5,0.0,0.125,8,1.0,0.0,0.125,0.0,23025.0,73.8,87.8125,2,0.0,0.25,0.4275,0.195,0.125,0.0,0.8,0.2014,0.2845
MER-11,Merit-based,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,51000.0,77.9,86.2,0,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.2842
MOD-02,Moderate favoritism,D01,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,31600.0,61.1,90.2,1,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.2842
MOD-14,Moderate favoritism,D03,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,34700.0,79.7,94.6,1,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.2842
HNR-05,High nepotism risk,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,53400.0,78.1,85.0,0,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.2842
HNR-07,High nepotism risk,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,52300.0,72.3,85.9,0,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.2842
HNR-15,High nepotism risk,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,51000.0,65.9,82.4,0,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.2842
HNR-09,High nepotism risk,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,46500.0,53.3,87.2,0,0.0,1.0,1.0,0.52,0.66,0.0,0.35,0.2013,0.2842
HNR-14,High nepotism risk,D01,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1.0,0.0,0.0,33400.0,75.3,90.0,1,0.6,0.42,1.0,0.0,0.66,0.0,0.35,0.1977,0.2765
MER-16,Merit-based,D01,7,0.0,0.0,0.5714285714285714,0.5,0.1429,0.5714,0.2857,0.2857,0.1429,0.5714,0.1429,0.0,7,0.8571,0.0,0.2857142857142857,0.2857142857142857,23457.14285714286,76.11428571428571,88.8,2,0.0,0.2029,0.5714,0.2171,0.0943,0.5,0.7,0.1969,0.2749
MOD-10,Moderate favoritism,D03,6,0.16666666666666666,0.0,0.5,0.0,0.3333,0.6667,0.3333,0.5,0.3333,0.3333,0.0,0.0,6,1.0,0.1667,0.6666666666666666,0.1666666666666666,23316.666666666668,70.39999999999999,83.58333333333333,2,0.1,0.3333,0.5267,0.26,0.22,0.0,0.6,0.1966,0.2743
MOD-14,Moderate favoritism,D01,4,0.25,0.0,0.75,0.0,0.25,1.0,0.75,0.6667,0.75,0.75,0.0,0.0,4,1.0,0.25,0.75,0.0,21550.0,66.575,79.05,2,0.15,0.75,0.895,0.3467,0.165,0.0,0.4,0.196,0.273
MER-02,Merit-based,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,50300.0,71.4,85.4,0,0.6,0.42,0.58,0.52,0.66,0.0,0.35,0.196,0.273
HNR-07,High nepotism risk,D02,6,0.3333333333333333,0.0,0.8333333333333334,0.0,0.3333,0.5,0.1667,0.1667,0.3333,0.5,0.1667,0.0,6,1.0,0.3333,0.6666666666666666,0.0,22550.0,66.05,75.16666666666667,2,0.2,0.2633,0.5,0.1667,0.22,0.0,0.6,0.1958,0.2725
MOD-04,Moderate favoritism,D02,4,0.25,0.0,0.75,0.0,0.25,0.75,0.75,1.0,0.75,0.75,0.0,0.0,4,1.0,0.25,0.5,0.0,24700.0,71.15,82.57499999999999,2,0.15,0.75,0.75,0.52,0.165,0.0,0.4,0.195,0.2709
HNR-08,High nepotism risk,D01,2,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.5,0.0,2,1.0,1.0,0.5,0.0,27300.0,63.25,85.75,2,0.6,0.21,1.0,0.5,0.33,0.0,0.35,0.1947,0.2703
HNR-15,High nepotism risk,D01,4,0.5,0.0,0.75,0.0,0.5,1.0,1.0,0.3333,0.25,0.5,0.25,0.0,4,1.0,0.5,0.5,0.0,22775.0,60.075,74.175,2,0.3,0.565,0.79,0.2933,0.33,0.0,0.4,0.194,0.2687
MER-12,Merit-based,D03,6,0.16666666666666666,0.0,0.8333333333333334,0.0,0.1667,0.5,0.1667,0.5,0.3333,0.6667,0.1667,0.0,6,1.0,0.1667,0.5,0.0,23000.0,70.53333333333333,85.53333333333335,2,0.1,0.2633,0.57,0.34,0.11,0.0,0.6,0.1929,0.2664
MOD-08,Moderate favoritism,D01,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333,0.6667,0.6667,0.6667,0.6667,0.6667,0.6667,0.0,3,1.0,0.6667,1.0,0.0,23933.33333333333,68.83333333333333,79.23333333333333,2,0.4,0.6667,0.6667,0.6667,0.22,0.0,0.35,0.1924,0.2653
MER-06,Merit-based,D03,4,0.0,0.0,1.0,0.5,0.25,1.0,0.5,0.6667,0.75,1.0,0.0,0.25,4,1.0,0.0,0.5,0.5,25700.0,72.2,86.275,2,0.0,0.645,1.0,0.3467,0.25,0.5,0.4,0.1922,0.265
MOD-07,Moderate favoritism,D03,6,0.0,0.0,0.5,0.3333,0.3333,0.5,0.3333,0.25,0.5,0.5,0.0,0.0,6,1.0,0.0,0.6666666666666666,0.1666666666666666,22466.666666666668,62.21666666666667,82.28333333333333,2,0.0,0.43,0.5,0.13,0.22,0.3333,0.6,0.1915,0.2635
HNR-16,High nepotism risk,D02,2,0.5,0.0,0.5,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.0,2,1.0,0.5,1.0,0.0,24500.0,70.6,85.35,2,0.3,0.71,0.79,0.52,0.33,0.0,0.35,0.1894,0.2591
MOD-09,Moderate favoritism,D03,2,0.5,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.0,0.0,2,1.0,0.5,0.0,0.0,27700.0,69.45,89.65,2,0.3,0.71,0.79,0.52,0.33,0.0,0.35,0.1894,0.2591
MOD-11,Moderate favoritism,D03,2,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.5,0.5,2,1.0,0.5,0.0,0.0,21750.0,68.44999999999999,76.55000000000001,2,0.3,0.42,1.0,0.5,0.5,0.0,0.35,0.1848,0.2493
MOD-01,Moderate favoritism,D03,4,0.0,0.0,0.75,0.0,0.5,0.75,0.75,0.75,0.75,0.75,0.25,0.0,4,1.0,0.0,0.5,0.0,23950.0,73.525,89.025,2,0.0,0.75,0.75,0.51,0.33,0.0,0.4,0.183,0.2456
HNR-06,High nepotism risk,D01,2,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,1.0,0.5,2,1.0,1.0,1.0,0.0,23750.0,66.05000000000001,84.15,2,0.6,0.21,0.5,0.74,0.5,0.0,0.35,0.1816,0.2425
MOD-05,Moderate favoritism,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,51600.0,71.4,92.4,0,0.0,0.42,1.0,1.0,0.66,0.0,0.35,0.1809,0.241
MOD-07,Moderate favoritism,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,52500.0,79.1,99.1,0,0.0,0.42,1.0,1.0,0.66,0.0,0.35,0.1809,0.241
MOD-02,Moderate favoritism,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,52200.0,74.3,92.9,0,0.0,0.42,1.0,1.0,0.66,0.0,0.35,0.1809,0.241
HNR-12,High nepotism risk,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,50500.0,65.5,89.1,0,0.0,0.42,1.0,1.0,0.66,0.0,0.35,0.1809,0.241
HNR-14,High nepotism risk,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,48600.0,63.6,85.5,0,0.0,1.0,1.0,0.0,0.66,0.0,0.35,0.1795,0.2381
MOD-10,Moderate favoritism,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,49300.0,59.7,84.7,0,0.0,1.0,1.0,0.0,0.66,0.0,0.35,0.1795,0.2381
MOD-15,Moderate favoritism,D03,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,32500.0,63.6,76.9,1,0.0,1.0,1.0,0.0,0.66,0.0,0.35,0.1795,0.2381
MOD-12,Moderate favoritism,EXEC,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1.0,0.0,1.0,0.0,48800.0,61.6,83.5,0,0.0,1.0,1.0,0.0,0.66,0.0,0.35,0.1795,0.2381
HNR-12,High nepotism risk,D02,2,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.0,2,1.0,0.5,0.5,0.0,27700.0,64.7,73.9,2,0.3,0.71,0.79,0.26,0.33,0.0,0.35,0.1785,0.236
MER-06,Merit-based,D02,5,0.0,0.0,0.8,0.75,0.2,0.6,0.4,0.4,0.2,0.6,0.4,0.0,5,1.0,0.0,0.0,0.8,25760.0,78.6,91.82,2,0.0,0.284,0.6,0.4,0.132,0.75,0.5,0.1782,0.2353
HNR-11,High nepotism risk,D02,3,0.3333333333333333,0.0,1.0,0.3333,0.3333,1.0,1.0,0.6667,0.3333,0.6667,0.0,0.3333,3,1.0,0.3333,0.3333333333333333,0.3333333333333333,25666.666666666668,64.2,80.36666666666667,2,0.2,0.6133,0.86,0.3467,0.3333,0.3333,0.35,0.1766,0.232
MER-16,Merit-based,D03,5,0.0,0.0,0.8,0.0,0.2,0.6,0.4,0.6,0.4,0.6,0.4,0.2,5,1.0,0.0,0.2,0.0,22800.0,67.97999999999999,82.88,2,0.0,0.4,0.6,0.504,0.2,0.0,0.5,0.1762,0.2312
HNR-13,High nepotism risk,D02,4,0.0,0.0,1.0,0.0,0.25,0.75,0.75,0.3333,0.75,0.75,0.5,0.25,4,1.0,0.0,0.5,0.0,25575.0,71.65,83.475,2,0.0,0.75,0.75,0.4133,0.25,0.0,0.4,0.1758,0.2304
MER-04,Merit-based,EXEC,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,0.0,53900.0,86.0,96.2,0,0.6,0.42,0.58,0.0,0.66,0.0,0.35,0.1742,0.2269
MOD-11,Moderate favoritism,D01,3,0.6666666666666666,0.0,1.0,0.0,0.6667,1.0,0.3333,0.5,0.3333,0.6667,0.0,0.3333,3,1.0,0.6667,0.3333333333333333,0.0,23333.33333333333,69.10000000000001,85.86666666666667,2,0.4,0.3333,0.86,0.26,0.5533,0.0,0.35,0.1721,0.2225
HNR-11,High nepotism risk,D01,4,0.25,0.0,1.0,0.25,0.25,1.0,0.5,0.5,0.25,0.75,0.25,0.0,4,1.0,0.25,1.0,0.25,21675.0,64.7,83.375,2,0.15,0.355,0.895,0.38,0.165,0.25,0.4,0.172,0.2223
HNR-01,High nepotism risk,D02,3,0.0,0.0,1.0,0.3333,0.3333,0.6667,0.6667,1.0,0.6667,0.6667,0.6667,0.0,3,1.0,0.0,1.0,0.3333333333333333,21333.33333333333,64.53333333333333,80.0,2,0.0,0.6667,0.6667,0.84,0.22,0.3333,0.35,0.1674,0.2127
HNR-04,High nepotism risk,D02,3,0.0,0.0,1.0,0.3333,0.6667,0.6667,0.6667,1.0,0.3333,0.6667,1.0,0.0,3,1.0,0.0,1.0,0.3333333333333333,26000.0,68.66666666666667,82.26666666666667,2,0.0,0.4733,0.6667,1.0,0.44,0.3333,0.35,0.1668,0.2113
MER-05,Merit-based,D01,6,0.16666666666666666,0.0,0.5,0.0,0.1667,0.5,0.5,0.3333,0.0,0.1667,0.3333,0.0,6,1.0,0.1667,0.5,0.0,23116.666666666668,71.76666666666667,85.51666666666667,2,0.1,0.21,0.36,0.3333,0.11,0.0,0.6,0.1658,0.2093
MOD-03,Moderate favoritism,D01,4,0.25,0.0,0.75,0.0,0.25,0.75,0.25,0.5,0.5,0.75,0.5,0.0,4,1.0,0.25,0.5,0.0,23675.0,70.05,85.6,2,0.15,0.395,0.75,0.5,0.165,0.0,0.4,0.1657,0.2089
MER-09,Merit-based,D03,2,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.0,2,1.0,0.0,0.5,0.0,29000.0,76.85,85.35,2,0.0,0.71,1.0,0.26,0.33,0.0,0.35,0.1609,0.1988
